genes	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	FoldChage	Log2FC
LITAF	5.95E-13	0.987977409	0.946	0.813	1.17E-08	E-AM	LITAF	2.685796707	1.425350108
ATP8A1	9.62E-13	0.756677949	0.811	0.425	1.90E-08	E-AM	ATP8A1	2.131184544	1.091655525
PRSS23	1.51E-12	1.284454105	0.73	0.299	2.97E-08	E-AM	PRSS23	3.612695267	1.853075568
BMP2K	1.65E-12	0.705027351	0.892	0.457	3.24E-08	E-AM	BMP2K	2.02390204	1.017139463
DPYSL31	2.26E-12	0.837428774	0.865	0.614	4.45E-08	E-AM	DPYSL3	2.310418724	1.208154339
HSPB11	3.16E-12	0.87914588	1	0.993	6.23E-08	E-AM	HSPB1	2.408841388	1.268339401
SHISA5	1.53E-11	1.044046465	0.919	0.751	3.01E-07	E-AM	SHISA5	2.840688536	1.506240658
SPTSSB	1.63E-11	0.713301208	0.622	0.233	3.22E-07	E-AM	SPTSSB	2.040716982	1.029076115
TMSB4X1	1.99E-11	1.214953656	1	0.993	3.92E-07	E-AM	TMSB4X	3.370137875	1.752807614
SLC7A31	2.18E-11	1.073250903	0.946	0.735	4.30E-07	E-AM	SLC7A3	2.924872538	1.548373755
CA12	2.68E-11	0.932433935	0.703	0.336	5.28E-07	E-AM	CA12	2.540685522	1.345217814
EFNA1	3.25E-11	0.79235808	0.865	0.642	6.41E-07	E-AM	EFNA1	2.208598342	1.143131073
PKIB	3.44E-11	0.742186899	0.703	0.295	6.77E-07	E-AM	PKIB	2.100524129	1.070749359
PPT2	6.79E-11	0.778122305	0.865	0.663	1.34E-06	E-AM	PPT2	2.177379969	1.122593191
TBC1D11	1.20E-10	0.824669643	0.946	0.728	2.37E-06	E-AM	TBC1D1	2.281127055	1.189746804
GSTO11	1.28E-10	0.983762216	0.919	0.663	2.52E-06	E-AM	GSTO1	2.674499382	1.41926887
MSX1	2.81E-10	0.824234964	0.486	0.142	5.54E-06	E-AM	MSX1	2.280135712	1.189119695
ATP12A	3.51E-10	0.702706267	0.459	0.125	6.91E-06	E-AM	ATP12A	2.019209841	1.013790847
CDO12	5.51E-10	0.775186972	0.757	0.455	1.09E-05	E-AM	CDO1	2.170998005	1.1183584
ATP6V1B2	5.97E-10	0.713600657	0.973	0.857	1.18E-05	E-AM	ATP6V1B2	2.041328164	1.029508129
BMP41	1.07E-09	0.82561636	0.811	0.496	2.11E-05	E-AM	BMP4	2.283287659	1.191112628
RNF1801	1.43E-09	0.743584726	0.892	0.593	2.81E-05	E-AM	RNF180	2.103462352	1.072765997
ASTN2	2.16E-09	0.775942978	0.73	0.426	4.26E-05	E-AM	ASTN2	2.172639913	1.119449086
SGMS1	2.43E-09	0.774560964	0.892	0.699	4.78E-05	E-AM	SGMS1	2.169639368	1.117455262
NAP1L31	3.32E-09	0.709642844	0.811	0.514	6.54E-05	E-AM	NAP1L3	2.033264936	1.023798212
HS6ST3	1.29E-08	0.844407788	0.649	0.338	0.000254579	E-AM	HS6ST3	2.326599566	1.218222928
ACSM3	1.54E-08	0.791544756	0.595	0.263	0.000303536	E-AM	ACSM3	2.206802766	1.141957694
OAT1	8.77E-08	0.828672133	0.865	0.776	0.001728329	E-AM	OAT	2.290275539	1.195521177
CALCB1	1.54E-07	0.817872129	0.703	0.365	0.003033866	E-AM	CALCB	2.265673643	1.179940065
PHLPP1	3.69E-07	0.706211733	0.919	0.854	0.007266706	E-AM	PHLPP1	2.026300533	1.018848165
FUCA11	1.97E-06	0.696076948	0.973	0.864	0.038810801	E-AM	FUCA1	2.005868127	1.004226761
NGF	2.15E-41	1.087885849	0.741	0.055	4.24E-37	L-AM2	NGF	2.96799265	1.569487519
MAB21L3	9.62E-41	0.79840754	0.667	0.043	1.90E-36	L-AM2	MAB21L3	2.221999664	1.151858599
GABRP	7.40E-39	1.921029367	0.852	0.093	1.46E-34	L-AM2	GABRP	6.827983354	2.771459541
SPNS2	4.90E-38	1.713126483	0.926	0.122	9.66E-34	L-AM2	SPNS2	5.546274732	2.471519081
CA3	3.64E-36	2.056609843	0.889	0.111	7.17E-32	L-AM2	CA3	7.819415777	2.967060822
ADRA1B	4.63E-33	0.746098878	0.63	0.049	9.12E-29	L-AM2	ADRA1B	2.108757429	1.076393151
LOC102115838	3.32E-30	0.701391916	0.556	0.041	6.53E-26	L-AM2	LOC102115838	2.016557634	1.011894639
LOC101867462	1.03E-28	0.797322316	0.741	0.092	2.04E-24	L-AM2	LOC101867462	2.219589605	1.150292951
PDZRN41	2.70E-28	2.054285358	0.963	0.203	5.32E-24	L-AM2	PDZRN4	7.801260771	2.963707299
LTF1	4.86E-26	0.892940175	0.704	0.087	9.57E-22	L-AM2	LTF	2.442299894	1.288240362
NTRK2	3.11E-24	2.006603727	0.889	0.187	6.12E-20	L-AM2	NTRK2	7.438012879	2.894917246
HEY1	3.41E-24	1.390842714	0.926	0.236	6.72E-20	L-AM2	HEY1	4.018234849	2.006561886
COX4I2	1.16E-23	2.047524234	0.963	0.288	2.28E-19	L-AM2	COX4I2	7.748693388	2.953953058
MIA	1.23E-22	0.812063689	0.704	0.111	2.43E-18	L-AM2	MIA	2.25255176	1.171560257
TGFBI	8.37E-22	2.275471334	1	0.353	1.65E-17	L-AM2	TGFBI	9.732505192	3.282811209
NTS	9.38E-22	1.26573196	0.667	0.103	1.85E-17	L-AM2	NTS	3.545687088	1.826065222
NEBL	1.36E-20	1.659876102	1	0.376	2.68E-16	L-AM2	NEBL	5.258659267	2.394695021
SLIT31	4.60E-20	1.378451597	0.926	0.264	9.06E-16	L-AM2	SLIT3	3.96875164	1.988685283
IGFBP5	3.78E-19	2.567787469	0.926	0.328	7.45E-15	L-AM2	IGFBP5	13.03694786	3.704534248
WLS1	1.31E-18	2.245101367	1	0.635	2.58E-14	L-AM2	WLS	9.441372552	3.238996608
ATG101	2.93E-18	2.194584499	1	0.707	5.78E-14	L-AM2	ATG10	8.976270632	3.166116174
KCNMA1	1.20E-17	2.063499693	0.926	0.379	2.37E-13	L-AM2	KCNMA1	7.8734764	2.977000774
DLK2	1.24E-17	0.986298693	0.63	0.12	2.45E-13	L-AM2	DLK2	2.681291799	1.422928233
SLC4A4	1.51E-17	0.975273056	0.741	0.174	2.98E-13	L-AM2	SLC4A4	2.651891227	1.407021601
FREM21	3.24E-17	1.072343457	0.963	0.407	6.38E-13	L-AM2	FREM2	2.922219578	1.547064588
ODZ41	4.27E-17	1.491376398	0.926	0.348	8.41E-13	L-AM2	ODZ4	4.443206933	2.151601333
DLK1	4.85E-17	2.467311919	0.926	0.361	9.55E-13	L-AM2	DLK1	11.79070983	3.55957867
KRT193	5.51E-17	1.797642161	1	0.952	1.09E-12	L-AM2	KRT19	6.035400173	2.593449431
GBE1	8.63E-17	1.662886116	1	0.783	1.70E-12	L-AM2	GBE1	5.274511751	2.399037553
PRTG2	8.75E-17	1.645491159	1	0.654	1.72E-12	L-AM2	PRTG	5.183555232	2.373941935
IFI27L22	1.01E-16	1.520815038	0.963	0.563	1.98E-12	L-AM2	IFI27L2	4.575953251	2.194072313
TSPAN2	1.02E-16	1.661119914	0.926	0.446	2.02E-12	L-AM2	TSPAN2	5.26520412	2.396489462
ADAM18	1.45E-16	1.447452093	1	0.613	2.86E-12	L-AM2	ADAM18	4.252266322	2.088231956
MEIS1	1.60E-16	0.992780776	0.889	0.361	3.15E-12	L-AM2	MEIS1	2.698728608	1.432279902
SLC2A1	2.19E-16	1.659210174	1	0.984	4.31E-12	L-AM2	SLC2A1	5.255158544	2.39373429
CXCL14	2.28E-16	2.593901241	0.926	0.431	4.49E-12	L-AM2	CXCL14	13.38187582	3.742208457
FLT1	4.01E-16	1.454213417	0.963	0.508	7.91E-12	L-AM2	FLT1	4.281114689	2.097986485
KRT81	4.74E-16	1.768592379	1	0.959	9.33E-12	L-AM2	KRT8	5.862595238	2.551539455
TPM11	5.53E-16	1.991460654	1	0.905	1.09E-11	L-AM2	TPM1	7.326227034	2.87307041
KRT181	5.71E-16	1.872990336	1	0.92	1.12E-11	L-AM2	KRT18	6.507727624	2.702153869
ATP12A1	8.48E-16	0.959405015	0.63	0.124	1.67E-11	L-AM2	ATP12A	2.610143015	1.384128857
MEST	8.77E-16	2.244501032	1	0.944	1.73E-11	L-AM2	MEST	9.435706266	3.238130508
EPAS12	1.46E-15	1.165296476	0.889	0.367	2.87E-11	L-AM2	EPAS1	3.206873503	1.681167447
BMP42	1.70E-15	1.101121953	0.963	0.495	3.35E-11	L-AM2	BMP4	3.007538449	1.588583181
SLC1A31	1.92E-15	1.38680349	0.926	0.462	3.78E-11	L-AM2	SLC1A3	4.002037034	2.000734518
MDK	2.44E-15	1.123627446	1	0.999	4.81E-11	L-AM2	MDK	3.075991985	1.621051744
EZR1	2.74E-15	1.339858585	1	0.974	5.40E-11	L-AM2	EZR	3.818503474	1.933007336
SSBP21	3.53E-15	1.24713213	0.963	0.556	6.96E-11	L-AM2	SSBP2	3.480347447	1.799231339
AMOT	4.43E-15	0.954526909	0.852	0.293	8.74E-11	L-AM2	AMOT	2.597441466	1.377091238
CA121	5.39E-15	1.181533313	0.852	0.335	1.06E-10	L-AM2	CA12	3.259368005	1.704592251
CDH31	5.46E-15	1.544139491	1	0.801	1.08E-10	L-AM2	CDH3	4.68393932	2.227722386
ISL11	6.22E-15	0.873471623	0.704	0.187	1.23E-10	L-AM2	ISL1	2.395211709	1.260153179
PLAC9	9.32E-15	0.891900991	0.741	0.216	1.84E-10	L-AM2	PLAC9	2.439763214	1.286741137
CTHRC1	1.04E-14	2.606038773	0.963	0.611	2.04E-10	L-AM2	CTHRC1	13.54528848	3.759719214
SERF2	1.06E-14	0.737391246	1	0.999	2.08E-10	L-AM2	SERF2	2.09047486	1.063830694
ADAMTS91	1.48E-14	0.88159373	0.852	0.284	2.91E-10	L-AM2	ADAMTS9	2.414745093	1.271870902
SLC47A1	1.57E-14	1.347529123	0.704	0.201	3.10E-10	L-AM2	SLC47A1	3.847906072	1.944073583
LOC1019259271	1.68E-14	1.396558907	1	0.993	3.31E-10	L-AM2	LOC101925927	4.041269628	2.014808609
HAPLN12	2.88E-14	1.519510598	0.963	0.576	5.68E-10	L-AM2	HAPLN1	4.569988086	2.192190404
EPCAM1	2.95E-14	1.238592689	1	0.956	5.81E-10	L-AM2	EPCAM	3.450753762	1.78691153
KIAA12171	3.55E-14	1.266459244	0.963	0.587	6.99E-10	L-AM2	KIAA1217	3.548266747	1.827114471
CD99	4.09E-14	1.484923955	1	0.765	8.07E-10	L-AM2	CD99	4.414629689	2.142292426
TSTD1	4.90E-14	1.074672211	0.963	0.588	9.65E-10	L-AM2	TSTD1	2.929032638	1.550424269
SH3BGRL3	5.10E-14	1.234049864	1	0.882	1.00E-09	L-AM2	SH3BGRL3	3.435113145	1.780357619
SLC22A23	6.26E-14	0.861543613	0.704	0.201	1.23E-09	L-AM2	SLC22A23	2.366811316	1.242944698
IGDCC31	6.80E-14	1.646115733	0.963	0.654	1.34E-09	L-AM2	IGDCC3	5.186793757	2.374843005
SELM	1.06E-13	1.147102983	1	0.853	2.08E-09	L-AM2	SELM	3.149056811	1.654919785
LOC102147024	1.14E-13	0.774977005	0.481	0.078	2.24E-09	L-AM2	LOC102147024	2.170542215	1.118055482
CYP1B12	1.24E-13	1.627777254	0.852	0.338	2.44E-09	L-AM2	CYP1B1	5.0925427	2.348386172
SPARC1	1.29E-13	1.334645718	1	0.957	2.54E-09	L-AM2	SPARC	3.798649915	1.925486759
ATP6AP1	1.58E-13	0.9100509	1	0.699	3.12E-09	L-AM2	ATP6AP1	2.484448989	1.31292592
RARB	1.67E-13	0.754680153	0.852	0.345	3.29E-09	L-AM2	RARB	2.126931122	1.088773314
ETFB	1.83E-13	0.778221965	1	0.941	3.60E-09	L-AM2	ETFB	2.177596978	1.12273697
WFDC21	2.18E-13	1.814410842	1	0.739	4.30E-09	L-AM2	WFDC2	6.137459179	2.617641524
SPATS2L	2.25E-13	1.079217503	0.926	0.489	4.42E-09	L-AM2	SPATS2L	2.942376249	1.55698174
SYTL51	2.29E-13	1.04263062	0.778	0.265	4.51E-09	L-AM2	SYTL5	2.836669407	1.504198025
LYPD6	2.47E-13	1.235228799	0.852	0.357	4.87E-09	L-AM2	LYPD6	3.439165308	1.782058463
LOC1019252091	2.69E-13	1.189013363	0.889	0.44	5.31E-09	L-AM2	LOC101925209	3.283839651	1.715383682
MYL61	3.51E-13	0.841886698	1	0.999	6.92E-09	L-AM2	MYL6	2.320741387	1.214585764
MEIS21	3.61E-13	1.23615184	0.926	0.473	7.11E-09	L-AM2	MEIS2	3.442341264	1.783390129
THRB	3.63E-13	1.394457454	0.815	0.343	7.15E-09	L-AM2	THRB	4.032786007	2.011776854
COL5A11	4.25E-13	1.113916486	0.963	0.543	8.36E-09	L-AM2	COL5A1	3.046265719	1.60704179
FLRT3	4.53E-13	1.037586387	0.852	0.327	8.93E-09	L-AM2	FLRT3	2.822396614	1.496920735
DGKB	6.02E-13	0.931388406	1	0.757	1.19E-08	L-AM2	DGKB	2.538030549	1.343709434
LHFP	7.39E-13	1.076257733	0.815	0.327	1.46E-08	L-AM2	LHFP	2.933680368	1.552711694
PAMR1	1.02E-12	1.010831709	0.926	0.492	2.01E-08	L-AM2	PAMR1	2.747885506	1.458321894
IGFBP3	1.67E-12	1.807010711	1	0.848	3.29E-08	L-AM2	IGFBP3	6.092208813	2.606965392
TMBIM6	2.39E-12	0.854652114	1	0.985	4.70E-08	L-AM2	TMBIM6	2.350556513	1.233002367
LOC102146113	3.30E-12	0.757241699	0.593	0.135	6.50E-08	L-AM2	LOC102146113	2.132386338	1.092468844
CD591	4.34E-12	1.095230664	1	0.883	8.54E-08	L-AM2	CD59	2.98987226	1.580083848
CST6	4.34E-12	0.98393751	0.741	0.245	8.55E-08	L-AM2	CST6	2.674968247	1.419521766
UNC5C1	5.28E-12	0.819084061	0.704	0.225	1.04E-07	L-AM2	UNC5C	2.26842115	1.181688513
DSP	5.88E-12	1.306975364	1	0.81	1.16E-07	L-AM2	DSP	3.694980822	1.885566876
EFNA11	6.04E-12	1.103328335	0.963	0.641	1.19E-07	L-AM2	EFNA1	3.014181553	1.591766317
PCSK5	7.00E-12	1.109119388	0.926	0.647	1.38E-07	L-AM2	PCSK5	3.031687478	1.600121041
ADAMTS61	7.26E-12	1.38537394	0.926	0.562	1.43E-07	L-AM2	ADAMTS6	3.996320009	1.998672113
PLD3	1.04E-11	1.061283164	0.963	0.852	2.05E-07	L-AM2	PLD3	2.890077054	1.531107958
FARP11	1.26E-11	0.705255665	0.963	0.657	2.48E-07	L-AM2	FARP1	2.024364178	1.01746885
TMEM59	2.55E-11	0.854452132	1	0.904	5.02E-07	L-AM2	TMEM59	2.350086491	1.232713854
UTRN1	2.68E-11	1.051669263	0.926	0.746	5.27E-07	L-AM2	UTRN	2.862425273	1.51723803
TMSB4X2	3.92E-11	1.082437758	1	0.993	7.72E-07	L-AM2	TMSB4X	2.951866724	1.561627586
CXHXorf48	4.37E-11	1.143779423	0.667	0.24	8.61E-07	L-AM2	CXHXorf48	3.138608105	1.650124901
PTPRT1	5.11E-11	0.902430632	0.963	0.54	1.01E-06	L-AM2	PTPRT	2.465588773	1.301932198
VTCN11	5.39E-11	1.46234325	0.852	0.477	1.06E-06	L-AM2	VTCN1	4.316061299	2.109715355
ANXA21	5.66E-11	0.86871928	1	0.984	1.12E-06	L-AM2	ANXA2	2.383855846	1.253296997
GLI31	5.90E-11	0.731352583	0.815	0.402	1.16E-06	L-AM2	GLI3	2.077889225	1.055118745
OLFML3	7.90E-11	0.985304953	0.815	0.427	1.56E-06	L-AM2	OLFML3	2.678628616	1.421494569
FN1	9.34E-11	0.851393192	1	0.951	1.84E-06	L-AM2	FN1	2.342908701	1.228300736
PMP22	1.03E-10	1.744322266	0.741	0.343	2.04E-06	L-AM2	PMP22	5.722022152	2.516525083
PDLIM12	1.29E-10	0.95282795	0.963	0.799	2.55E-06	L-AM2	PDLIM1	2.593032266	1.374640158
FAM84B1	1.68E-10	0.856334362	0.852	0.474	3.31E-06	L-AM2	FAM84B	2.354514059	1.235429337
ZFP36L1	1.75E-10	0.861273859	1	0.908	3.44E-06	L-AM2	ZFP36L1	2.366172945	1.242555525
KALRN1	2.56E-10	0.920301626	0.889	0.578	5.03E-06	L-AM2	KALRN	2.510047371	1.327714592
DSTN1	2.62E-10	0.787688974	1	0.997	5.17E-06	L-AM2	DSTN	2.198310199	1.136394977
PALLD1	2.63E-10	0.906067961	0.963	0.735	5.18E-06	L-AM2	PALLD	2.47457326	1.307179754
LRPAP1	2.73E-10	1.006243844	1	0.977	5.38E-06	L-AM2	LRPAP1	2.735307454	1.451703004
MAST4	3.25E-10	0.897147124	0.926	0.588	6.40E-06	L-AM2	MAST4	2.452596168	1.294309707
GATA31	3.66E-10	0.94532702	0.926	0.625	7.20E-06	L-AM2	GATA3	2.573654878	1.363818604
CST3	3.72E-10	1.358533985	0.889	0.62	7.33E-06	L-AM2	CST3	3.890485609	1.959950243
FUT81	3.90E-10	0.969034854	0.926	0.761	7.69E-06	L-AM2	FUT8	2.635399686	1.398021778
FOS1	4.94E-10	0.993677501	0.852	0.475	9.74E-06	L-AM2	FOS	2.70114971	1.433573603
PARD3	5.31E-10	0.763374145	0.963	0.883	1.05E-05	L-AM2	PARD3	2.14550326	1.101316093
LOC102123842	6.55E-10	1.156100734	0.963	0.918	1.29E-05	L-AM2	LOC102123842	3.177519097	1.667900796
FSTL11	9.03E-10	0.772544947	1	0.9	1.78E-05	L-AM2	FSTL1	2.165269745	1.114546764
DAB1	9.35E-10	0.867309073	0.889	0.633	1.84E-05	L-AM2	DAB1	2.380496485	1.251262499
DNAJC1	1.01E-09	1.290370149	0.926	0.743	2.00E-05	L-AM2	DNAJC1	3.634131477	1.861610615
LITAF1	1.15E-09	0.99691029	0.889	0.817	2.26E-05	L-AM2	LITAF	2.709896087	1.438237532
CAPN2	1.21E-09	0.812085518	0.852	0.482	2.39E-05	L-AM2	CAPN2	2.252600931	1.17159175
MAGED2	1.37E-09	0.861449783	0.963	0.817	2.71E-05	L-AM2	MAGED2	2.366589249	1.24280933
TPI12	1.39E-09	0.769308879	1	0.997	2.74E-05	L-AM2	TPI1	2.15827411	1.109878105
SESN3	1.40E-09	0.853661993	0.889	0.593	2.75E-05	L-AM2	SESN3	2.348230329	1.231573924
ARHGEF31	1.53E-09	0.70586902	0.815	0.511	3.02E-05	L-AM2	ARHGEF3	2.025606213	1.018353735
MACF1	2.05E-09	0.821414841	1	0.935	4.03E-05	L-AM2	MACF1	2.273714507	1.185051118
SERPINH11	2.15E-09	0.862454961	1	0.985	4.23E-05	L-AM2	SERPINH1	2.368969288	1.244259495
LOC102145366	2.30E-09	0.827853785	0.852	0.537	4.53E-05	L-AM2	LOC102145366	2.288402063	1.19434055
MAGI3	2.95E-09	1.051687391	0.889	0.622	5.81E-05	L-AM2	MAGI3	2.862477163	1.517264184
TNS31	2.96E-09	0.798530677	0.926	0.691	5.84E-05	L-AM2	TNS3	2.222273291	1.152036248
COL6A21	3.48E-09	0.72590192	0.926	0.57	6.85E-05	L-AM2	COL6A2	2.066594162	1.0472551
LOC1021415541	4.02E-09	0.701382168	1	0.868	7.91E-05	L-AM2	LOC102141554	2.016537976	1.011880576
ARHGAP29	4.10E-09	0.813734127	0.926	0.641	8.08E-05	L-AM2	ARHGAP29	2.256317652	1.17397019
S100A112	4.32E-09	1.008968603	0.963	0.891	8.50E-05	L-AM2	S100A11	2.74277067	1.455634
REEP51	4.83E-09	0.726198054	0.963	0.712	9.52E-05	L-AM2	REEP5	2.067206242	1.047682331
ARL15	5.50E-09	0.724721211	0.926	0.788	0.000108285	L-AM2	ARL15	2.064155556	1.045551697
SERPINB9	6.62E-09	1.179781085	0.815	0.536	0.000130431	L-AM2	SERPINB9	3.25366185	1.702064321
AP2B1	8.59E-09	0.758539373	1	0.956	0.000169266	L-AM2	AP2B1	2.135155276	1.094340992
TCF42	1.06E-08	0.784072315	0.963	0.887	0.000209295	L-AM2	TCF4	2.190374021	1.131177241
CALU	1.36E-08	0.694856283	0.963	0.934	0.000267239	L-AM2	CALU	2.003421128	1.002465714
TCF7L2	1.37E-08	0.864968587	0.963	0.897	0.000270261	L-AM2	TCF7L2	2.374931481	1.247885891
TMEM45A	1.46E-08	1.008548814	0.889	0.751	0.000287707	L-AM2	TMEM45A	2.741619527	1.455028372
ARL6IP5	1.53E-08	0.791287927	0.889	0.701	0.000300545	L-AM2	ARL6IP5	2.206236068	1.141587168
HAND12	1.68E-08	0.978140062	0.852	0.481	0.000331562	L-AM2	HAND1	2.659505124	1.411157817
GRHL21	1.95E-08	0.860222342	0.852	0.584	0.000383464	L-AM2	GRHL2	2.363686182	1.241038507
COL2A1	3.19E-08	0.709576487	0.556	0.177	0.000627531	L-AM2	COL2A1	2.033130019	1.023702479
NRP11	4.24E-08	0.786016168	0.778	0.408	0.000835873	L-AM2	NRP1	2.194635927	1.133981628
AKAP2	4.49E-08	0.819238902	0.889	0.764	0.000884347	L-AM2	AKAP2	2.268772422	1.181911901
TP53I31	5.05E-08	0.862525601	0.815	0.567	0.000993944	L-AM2	TP53I3	2.369136638	1.244361407
ROBO2	5.86E-08	0.832660671	0.963	0.788	0.00115491	L-AM2	ROBO2	2.299428632	1.201275421
COL6A31	6.03E-08	1.089981458	0.815	0.474	0.001187954	L-AM2	COL6A3	2.974218924	1.572510844
IGSF3	7.56E-08	0.736824168	0.741	0.402	0.001489402	L-AM2	IGSF3	2.089289734	1.063012573
NCAM2	7.78E-08	0.922670965	0.741	0.448	0.001531878	L-AM2	NCAM2	2.516001575	1.331132826
EFNA51	7.96E-08	0.894417139	0.889	0.626	0.001567644	L-AM2	EFNA5	2.445909749	1.290371171
BACE2	1.05E-07	0.756325265	0.778	0.413	0.002067709	L-AM2	BACE2	2.130433042	1.091146709
LAMA22	1.18E-07	1.278571165	0.815	0.588	0.002323814	L-AM2	LAMA2	3.59150439	1.844588279
NRIP11	1.19E-07	0.802898804	0.778	0.538	0.002347944	L-AM2	NRIP1	2.232001695	1.158338123
FZD61	1.51E-07	0.835226503	0.704	0.389	0.002970304	L-AM2	FZD6	2.305336155	1.204977134
ANXA1	1.82E-07	0.913518904	0.704	0.345	0.003590136	L-AM2	ANXA1	2.493080025	1.317929193
OXR1	1.84E-07	0.880263059	0.815	0.606	0.003619425	L-AM2	OXR1	2.411533999	1.26995115
RRBP12	1.99E-07	0.73601218	1	0.898	0.00391357	L-AM2	RRBP1	2.087593944	1.061841122
DST2	1.99E-07	0.782416398	0.963	0.923	0.003922662	L-AM2	DST	2.186749945	1.128788257
NDRG1	2.21E-07	0.78649192	0.778	0.416	0.004349534	L-AM2	NDRG1	2.195680278	1.134667993
TNFAIP8	2.26E-07	0.864612671	0.852	0.648	0.004455412	L-AM2	TNFAIP8	2.374086355	1.247372413
TMEM541	2.29E-07	0.757320332	0.778	0.478	0.004505481	L-AM2	TMEM54	2.13255402	1.092582287
MYLK	2.61E-07	0.904326753	0.815	0.537	0.005134154	L-AM2	MYLK	2.470268262	1.304667722
DAPK13	2.62E-07	0.739046166	0.815	0.591	0.005160132	L-AM2	DAPK1	2.093937293	1.066218239
RBMS11	3.17E-07	0.773976544	0.926	0.86	0.006241048	L-AM2	RBMS1	2.168371758	1.116612122
TFAP2A1	3.83E-07	0.86453587	0.704	0.378	0.007539921	L-AM2	TFAP2A	2.37390403	1.247261612
PDE3A	4.36E-07	1.30961538	0.815	0.529	0.008592671	L-AM2	PDE3A	3.704748518	1.889375614
NPC2	4.55E-07	0.799886573	1	0.996	0.008958978	L-AM2	NPC2	2.225288506	1.153992392
SERPING1	5.34E-07	0.776837006	0.889	0.67	0.010516408	L-AM2	SERPING1	2.174583183	1.120738896
AHNAK2	6.40E-07	0.733505562	0.815	0.658	0.012598939	L-AM2	AHNAK	2.082367697	1.058224837
C1H1orf21	6.47E-07	0.798788679	0.852	0.777	0.012745734	L-AM2	C1H1orf21	2.222846716	1.152408466
BSG	6.54E-07	0.703816804	0.963	0.973	0.012891397	L-AM2	BSG	2.021453494	1.015393013
PKP21	7.08E-07	0.926334455	0.852	0.681	0.013956304	L-AM2	PKP2	2.525235827	1.336418124
VIM2	7.28E-07	0.888775165	0.926	0.769	0.014340151	L-AM2	VIM	2.432148845	1.282231523
SULF2	7.40E-07	0.950298922	0.889	0.718	0.014584411	L-AM2	SULF2	2.5864827	1.370991542
LOC102139876	7.85E-07	0.699858396	0.815	0.57	0.015454974	L-AM2	LOC102139876	2.013467572	1.009682237
GPC3	8.18E-07	0.775200415	0.889	0.779	0.016119105	L-AM2	GPC3	2.17102719	1.118377794
FOXP2	8.57E-07	0.817190915	0.741	0.532	0.016886022	L-AM2	FOXP2	2.26413076	1.178957281
CNTN4	8.71E-07	0.801506503	0.889	0.562	0.017158512	L-AM2	CNTN4	2.228896239	1.156329457
PPIB1	9.31E-07	0.729858357	0.963	0.94	0.018339194	L-AM2	PPIB	2.074786708	1.052963032
RIMS2	9.52E-07	0.714864462	0.852	0.663	0.01875157	L-AM2	RIMS2	2.043909636	1.031331414
