name	authors	group.1	group
nEVT.1	Io et al.	nEVT	H9_nEVT_Io
nEVT.2	Io et al.	nEVT	H9_nEVT_Io
pH9.1	Io et al.	pH9	pH9_Io
pH9.2	Io et al.	pH9	pH9_Io
pBAP_D1.1	Io et al.	pBAP_D1	H9_pBAP_D1_Io
pBAP_D1.2	Io et al.	pBAP_D1	H9_pBAP_D1_Io
pBAP_D2.1	Io et al.	pBAP_D2	H9_pBAP_D2_Io
pBAP_D2.2	Io et al.	pBAP_D2	H9_pBAP_D2_Io
pBAP_D3.1	Io et al.	pBAP_D3	H9_pBAP_D3_Io
pBAP_D3.2	Io et al.	pBAP_D3	H9_pBAP_D3_Io
CT_7wk.1	Io et al.	CT_7wk	CT_7wk_Io
CT_7wk.2	Io et al.	CT_7wk	CT_7wk_Io
CT_9wk.1	Io et al.	CT_9wk	CT_9wk_Io
CT_11wk.1	Io et al.	CT_11wk	CT_11wk_Io
amnion_18w.1	Roost et al.	amnion_18w	amnion_18wk_Roost
amnion_9w.1	Roost et al.	amnion_9w	amnion_9wk_Roost
amnion_16w.1	Roost et al.	amnion_16w	amnion_16wk_Roost
amnion_16w.2	Roost et al.	amnion_16w	amnion_16wk_Roost
amnion_22w.1	Roost et al.	amnion_22w	amnion_22wk_Roost
amnion_9w.2	Roost et al.	amnion_9w	amnion_9wk_Roost
amnion_22w.2	Roost et al.	amnion_22w	amnion_22wk_Roost
H1_gt70_D8_BAP.1	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_gt70_D8_BAP.2	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_gt70_D8_BAP.3	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_lt40_D8_BAP.1	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
H1_lt40_D8_BAP.2	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
H1_lt40_D8_BAP.3	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
H1_Yabe.1	Yabe et al.	H1_Yabe	H1_Yabe
H1_Yabe.2	Yabe et al.	H1_Yabe	H1_Yabe
H1_Yabe.3	Yabe et al.	H1_Yabe	H1_Yabe
amnion_Term.1	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.2	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.3	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.4	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.5	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.6	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.7	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.8	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.9	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.10	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.11	Suzuki et al.	amnion_Term	amnion_term_Suzuki
amnion_Term.12	Suzuki et al.	amnion_Term	amnion_term_Suzuki
H9_Shao.1	Shao et al.	H9_Shao	H9_ESC_Shao
H9_Shao.2	Shao et al.	H9_Shao	H9_ESC_Shao
H9_Shao.3	Shao et al.	H9_Shao	H9_ESC_Shao
H9_amnion.1	Shao et al.	H9_amnion	H9_amnion_Shao
H9_amnion.2	Shao et al.	H9_amnion	H9_amnion_Shao
H9_amnion.3	Shao et al.	H9_amnion	H9_amnion_Shao
